,ITEM,BTOS (Heirarchy order),BTOS
1411,1821,502,F
1412,1822,502,F
1413,1823,502,F
1414,1824,502,F
1415,1825,502,F
1416,1826,502,F
1417,1827,502,F
1418,1828,502,F
1419,1829,502,F
1420,1830,502,F
1421,1831,502,F
1422,1832,502,F
1423,1833,502,F
1424,1834,502,F
1425,1835,502,F
1426,1836,502,F
1427,1837,502,F
1428,1838,502,F
1429,1839,502,F
1430,1840,502,F
1431,1841,502,F
1432,1842,502,F
1433,1843,502,F
1434,1844,502,F
1435,1845,502,F
1436,1846,502,F
1437,1847,502,F
1438,1848,502,F
1439,1849,502,F
1440,1850,502,F
1441,1851,502,F
1442,1852,502,F
1443,1853,502,F
1444,1854,502,F
1445,1855,502,F
1446,1856,502,F
1447,1857,502,F
1448,1858,502,F
1449,1859,502,F
1450,1860,502,F
1451,1861,502,F
1452,1862,502,F
1453,1863,502,F
1454,1864,502,F
1455,1865,502,F
1456,1866,502,F
1457,1867,502,F
1458,1868,502,F
1459,1869,502,F
1460,1870,502,F
1461,1871,502,F
1462,1872,502,F
1463,1875,502,F
1464,1876,502,F
1465,1877,502,F
1466,1878,502,F
1467,1879,502,F
1468,1880,502,F
1469,1881,502,F
1470,1882,502,F
1471,1883,502,F
1472,1884,502,F
1473,1885,502,F
1474,1886,502,F
1475,1887,502,F
1476,1888,502,F
1477,1889,502,F
1478,1890,502,F
1479,1891,502,F
1480,1892,502,F
1481,1893,502,F
1482,1894,502,F
1483,1895,502,F
1484,1896,502,F
1485,1897,502,F
1486,1898,502,F
1487,1901,502,F
1488,1902,502,F
1489,1903,502,F
1490,1904,502,F
1491,1905,502,F
1492,1906,502,F
1493,1907,502,F
1494,1908,502,F
1495,1909,502,F
1496,1910,502,F
1497,1911,502,F
1498,1912,502,F
1499,1913,502,F
1500,1914,502,F
1501,1915,502,F
1502,1916,502,F
1503,1917,502,F
1504,1918,502,F
1505,1919,502,F
1506,1920,502,F
1507,1921,502,F
1508,1922,502,F
1509,1923,502,F
1510,1924,502,F
1511,1925,502,F
1512,1926,502,F
1513,1927,502,F
1514,1928,502,F
1515,1929,502,F
1516,1930,502,F
1517,1931,502,F
1518,1932,502,F
1519,1933,502,F
1520,1934,502,F
1521,1935,502,F
1522,1936,502,F
1523,1937,502,F
1524,1938,502,F
1525,1939,502,F
1526,1940,502,F
1527,1941,502,F
1528,1942,502,F
1529,1943,502,F
1530,1944,502,F
1531,1945,502,F
1532,1946,502,F
1533,1947,502,F
1534,1948,502,F
1535,1949,502,F
1536,1950,502,F
1537,1951,502,F
1538,1952,502,F
1539,1953,502,F
